"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","Tags"
"Genomic Annotations (hg38)","Human genomic annotations curated for use with RLSuite.","3.14","hg38","Multiple","https://github.com/Bishop-Laboratory/RLBase-data","v1","Homo sapiens",9606,TRUE,"Multiple","Henry Miller <millerh1@uthscsa.edu>","list","Rda","http://s3.amazonaws.com/experimenthub/","RLHub/annotations_hg38.rda","annots_hg38"
"Genomic Annotations (mm10)","Mouse genomic annotations curated for use with RLSuite.","3.14","mm10","Multiple","https://github.com/Bishop-Laboratory/RLBase-data","v1","Mus musculus",10090,TRUE,"Multiple","Henry Miller <millerh1@uthscsa.edu>","list","Rda","http://s3.amazonaws.com/experimenthub/","RLHub/annotations_mm10.rda","annots_mm10"
"Gene Expression","Gene expression count tables from matched RNA-Seq experiments corresponding to R-loop profiling. The counts, TPM, and VST-transformed counts are provided.","3.14","hg38","FASTQ","https://github.com/Bishop-Laboratory/RLBase-data","v1","Homo sapiens",9606,TRUE,"Multiple","Henry Miller <millerh1@uthscsa.edu>","SummarizedExperiment","Rda","http://s3.amazonaws.com/experimenthub/","RLHub/geneexp.rda","gene_exp"
"Feature Enrichment per Sample","Genomic feature enrichment statistics for each peakset in RLBase.","3.14","hg38","Multiple","https://github.com/Bishop-Laboratory/RLBase-data","v1","Homo sapiens",9606,TRUE,"Multiple","Henry Miller <millerh1@uthscsa.edu>","tbl","Rda","http://s3.amazonaws.com/experimenthub/","RLHub/feature_enrichment_per_samples.rda","feat_enrich_samples"
"Feature Enrichment per RL-Region","Genomic feature enrichment statistics for the RL-Regions within RLBase.","3.14","hg38","Multiple","https://github.com/Bishop-Laboratory/RLBase-data","v1","Homo sapiens",9606,TRUE,"Multiple","Henry Miller <millerh1@uthscsa.edu>","tbl","Rda","http://s3.amazonaws.com/experimenthub/","RLHub/feature_enrichment_rlregions.rda","feat_enrich_rlregions"
"GS-Signal","Bin-level read counts for RLBase samples around R-loop sites discovered using long-read SMRF-Seq (gold-standard sites).","3.14","hg38","Multiple","https://github.com/Bishop-Laboratory/RLBase-data","v1","Homo sapiens",9606,TRUE,"Multiple","Henry Miller <millerh1@uthscsa.edu>","tbl","Rda","http://s3.amazonaws.com/experimenthub/","RLHub/gsSignalRLBase.rda","gs_signal"
"FFT-Model","Stacked classifier for deciding whether samples successfully mapped R-loops.","3.14","hg38","Multiple","https://github.com/Bishop-Laboratory/RLBase-data","v1","Homo sapiens",9606,TRUE,"Multiple","Henry Miller <millerh1@uthscsa.edu>","caretStack","Rda","http://s3.amazonaws.com/experimenthub/","RLHub/fftModel.rda","fft_model"
"Feature-Prep Model","Model for transforming dataset features prior to classification.","3.14","hg38","Multiple","https://github.com/Bishop-Laboratory/RLBase-data","v1","Homo sapiens",9606,TRUE,"Multiple","Henry Miller <millerh1@uthscsa.edu>","preProcess","Rda","http://s3.amazonaws.com/experimenthub/","RLHub/prepFeatures.rda","prep_features"
"RLFS-Test Results","The results from RLFS (R-loop-forming sequences) analysis on all RLBase samples via the RLSeq package.","3.14","hg38","Multiple","https://github.com/Bishop-Laboratory/RLBase-data","v1","Homo sapiens",9606,TRUE,"Multiple","Henry Miller <millerh1@uthscsa.edu>","list","Rda","http://s3.amazonaws.com/experimenthub/","RLHub/rlfsres.rda","rlfs_res"
"RLRegion Annotations","R-loop regions (rlregions) derived from S9.6-based and dRNH-based samples ('All' group), annotated with genomic features.","3.14","hg38","Multiple","https://github.com/Bishop-Laboratory/RLBase-data","v1","Homo sapiens",9606,TRUE,"Multiple","Henry Miller <millerh1@uthscsa.edu>","tbl","Rda","http://s3.amazonaws.com/experimenthub/","RLHub/rlregions_annotations.rda","rlregions_annot"
"RLRegion Metadata","R-loop regions (rlregions) derived from S9.6-based and dRNH-based samples ('All' group), with descriptive metadata.","3.14","hg38","Multiple","https://github.com/Bishop-Laboratory/RLBase-data","v1","Homo sapiens",9606,TRUE,"Multiple","Henry Miller <millerh1@uthscsa.edu>","tbl","Rda","http://s3.amazonaws.com/experimenthub/","RLHub/rlregions_table.rda","rlregions_meta"
"RLRegion Read Counts","Read count tables from RLBase samples quantified across the R-loop regions (rlregions) derived from both S9.6-based and dRNH-based samples ('All' group).","3.14","hg38","BAM","https://github.com/Bishop-Laboratory/RLBase-data","v1","Homo sapiens",9606,TRUE,"Multiple","Henry Miller <millerh1@uthscsa.edu>","SummarizedExperiment","Rda","http://s3.amazonaws.com/experimenthub/","RLHub/rlregions_counts.rda","rlregions_counts"
"RLBase Sample Manifest","The hand-curated manifest of all RLBase samples with descriptive metadata and some sample-level analysis results.","3.14","hg38","XLS/XLSX","https://github.com/Bishop-Laboratory/RLBase-data","v1","Homo sapiens",9606,TRUE,"Multiple","Henry Miller <millerh1@uthscsa.edu>","tbl","Rda","http://s3.amazonaws.com/experimenthub/","RLHub/rlsamples.rda","rlbase_samples"
